　扫黑行动,　　女大学生离奇坠楼，刚调任到岗的刑侦支队副队长成锐（周一围 饰）被副局长杜于林（王劲松 饰）指派追查背后隐情，发现案件与套路贷、暴力催讨等黑势力犯罪有关，本市企业家安亦明（曾志伟 饰）被列为重点侦查对象，成锐想进一步调查却被要求尽快结案，究竟是谁在充当&ldquo;保护伞&rdquo;？城市危机四伏，安亦明之妻周彤（秦海璐 饰）、经济学教授赵羡鱼（张智霖 饰）纷纷身陷其中，为了还人民安宁，成锐和同事们突破难关追踪到底，却不想背后还有更大阴谋。真相究竟为何？他们能否将隐藏在黑暗中的罪恶一扫而尽？,magnet:?xt=urn:btih:ec2924161e5f2b47a3be8756feab15cde5db6655&dn=[电影天堂www.dytt89.com]扫黑行动-2022_HD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
　Glass Onion: A Knives Out Mystery,　　在莱恩&middot;约翰逊的《利刃出鞘》续篇中，侦探贝努瓦&middot;布兰克将前往希腊，破解层层谜团，一众形形色色的全新嫌疑人也将一一登场。,magnet:?xt=urn:btih:e20337feb0817cedbdf0bde69d946f59ce89589d&dn=[电影天堂www.dytt89.com]利刃出鞘2-2022_BD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
　我的非凡父母,　　影片讲述拥有一双明眸的朱芷欣（吴千语 饰），却有一对失明父母：甘笑红（惠英红 饰）、朱国强（吴岱融 饰）。乖巧懂事的她从小便成为父母的&ldquo;眼睛&rdquo;，为父母描绘世间的形状与颜色。随着女孩青春期的到来，热爱绘画并天赋异禀的她渴望到国外攻读艺术，观念的冲突、频繁的争吵使家庭气氛降到了冰点。在机会来临之际，芷欣将会在家庭和梦想之间作何选择？,magnet:?xt=urn:btih:d094f5086a057a0a2cfa5ad4899ecaa6afac2b69&dn=[电影天堂www.dytt89.com]我的非凡父母-2022_HD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
　万里归途,　　电影根据真实事件改编。,magnet:?xt=urn:btih:ed41ce125dde91d19896fa655da92aff43bf8ee6&dn=[电影天堂www.dytt89.com]万里归途-2022_HD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
　熊出没&middot;重返地球,　　有点懒又有点馋的熊二虽然总是各种失误犯错，内心却一直梦想成为一位英雄，以此获得大家特别是哥哥熊大的认可。,magnet:?xt=urn:btih:100f0e1550c7aa11f2d510232ce804f818ae9a0e&dn=[电影天堂www.dytt89.com]熊出没・重返地球-2022_BD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
　明日�鹩�,　　未来世界，地球因环境污染而千疮百孔，人类家园破败萧条。一颗陨石突然撞击地球，并带来杀伤力极强的外星生物，560万人将因此失去生命。人类命运岌岌可危，总指挥李升（张家辉 饰）派出以军人泰来（古天乐 饰）为首的精英部队前往执行改造计划，部队却突遭暴力攻击，只有泰来和通讯兵光仔（万国鹏 饰）幸存。军官谭冰（刘嘉玲 饰）坚持执行PlanB，指挥官郑重生（刘青云 饰）反对并找来旧友臭鼬（姜皓文 饰）前往支援。拯救家园刻不容缓，但在通讯员小绿（吴倩 饰）悄悄提醒下，泰来发现了一个足以毁天灭地的邪恶阴谋&hellip;&hellip;,magnet:?xt=urn:btih:d04fe3087f219879b2561839ddfe7cfbf1dcf313&dn=[电影天堂www.dytt89.com]明日战记-2022_HD粤语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
　哥，你好,　　与父亲老伍（魏翔 饰）终年不合的小伍（常远 饰）阴差阳错回到80年代，意外搅黄了父亲与母亲大陆（马丽 饰）的初次相遇。为了纠正这个错误，他想尽办法一次次重返过去，鼓励老妈追老爸，让人啼笑皆非的闹剧不断上演。父母相遇相恋的命运，是否会因为小伍的干预而转变？尘封在父亲心里的秘密，又将如何慢慢揭开&hellip;&hellip;,magnet:?xt=urn:btih:21e2be538bbf0334d00183f2924403a91a3728d9&dn=[电影天堂www.dytt89.com]哥，你好-2022_HD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
　Black Adam,　　黑亚当本名特斯-亚当，在几千年前曾被巫师沙赞选中成为首任道德的捍卫者，并被赐予了埃及六神的力量，强大的力量使他的心灵被邪恶侵蚀，成为了黑亚当，企图除掉所有巫师和魔法师，成为世上唯一会使用魔法的人，希望让世界按照自己的理想轨迹发展，终被巫师沙赞打败并封印千年之久。,magnet:?xt=urn:btih:293526711ccf15866eac68332e44d7ff21ace88b&dn=[电影天堂www.dytt89.com]黑亚当-2022_BD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
　平凡英雄,　　影片改编自在&ldquo;生死时速&rdquo;救助救治新疆和田断臂男孩中，医生、机组、乘客、警察等新疆各行人民跨越1400公里，长达8小时的生命接力，创造生命奇迹感人至深的真实事迹。,magnet:?xt=urn:btih:9a6f0ad3c62f5b169ef836e373815a475ff6da0a&dn=[电影天堂www.dytt89.com]平凡英雄-2022_HD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
　Disenchanted,　　吉赛尔公主和罗伯特、摩根搬到了郊区的一栋新房子，被反派玛尔维娜&middot;梦露监视着。随着问题的出现，吉赛尔许愿把他们的生活变成完美的童话，然而咒语产生了戏剧性的反作用，使吉赛尔不得不在午夜来临之前争分夺秒，以拯救她的家人和安大拉西亚王国。,magnet:?xt=urn:btih:f49d0c18a08efb895f3307b94736b706f197ab15&dn=[电影天堂www.dytt89.com]魔法奇缘2：解除魔法-2022_HD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
　神探大��,　　连环命案、私刑执法、预告杀人、以暴制暴...一群号称&ldquo;神探&rdquo;的团伙掀起了一场香港有史以来最邪恶的犯罪！患有精神疾病的&ldquo;癫佬神探&rdquo;李俊（刘青云 饰）为查真凶独闯犯罪现场！以&ldquo;神探夫妇&rdquo;陈仪（蔡卓妍 饰）和方礼信（林�o 饰）为首的重案组也开启了与杀戮赛跑的缉凶之路！敌友之间，正邪边缘，死亡审判的真相究竟是什么？真正的&ldquo;神探&rdquo;到底是谁？,magnet:?xt=urn:btih:ee8fa64925049ad4434c416ed06d6c2e469d744c&dn=[电影天堂www.dytt89.com]神探大战-2022_4K国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
　搜救,　　寒冬季节，一组深圳游客家庭自驾进入东北长白山旅行，原本是其乐融融的旅行，却因父亲阿德的过失导致8岁的儿子不幸走失。阿德夫妇向当地相关部门寻求援助，搜救行动即刻展开。黄金救援时间24小时过去了，常规安全极限48小时也过去了，孩子却仍未找到。即使希望渺茫，搜救警察及雪域搜救队依然不离不弃&hellip; 生命的奇迹会出现吗？,magnet:?xt=urn:btih:e0b3da00b0f7d91c444855277a62e1dfe42f9550&dn=[电影天堂www.dytt89.com]搜救-2022_HD国语中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
　Ambulance,　　本片翻拍自2005年同名丹麦电影，功勋退伍士兵威尔&middot;夏普（叶海亚&middot;阿卜杜勒-迈丁 饰）为救妻子情急之下找到养兄弟丹尼（杰克&middot;吉伦哈尔 饰）求助，却因此被卷入洛杉矶史上最大金额银行抢劫案。在脱身中出现的致命差池，迫使二人挟持了一辆载有一名垂危警察和一位顶尖急救专家卡姆&middot;汤普森（艾莎&middot;冈萨雷斯 饰）的救护车。在这场持久的高速追逐中，威尔和丹尼极力躲避全城警察的大规模搜捕、保证人质的生命安全、努力不对兄弟拔刀相向，同时完成这场洛杉矶有史以来最疯狂且惊险刺激的逃脱。,magnet:?xt=urn:btih:3ee4b5755bbf842ed4fdc66f4ec3a8cf5dba6efe&dn=[电影天堂www.dytt89.com]亡命救护车-2022_蓝光中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
　新神榜：杨戬,　　商周之战一千五百年后，天界衰落，蒙冤落魄的杨戬以赏银捕手为业谋生。一日，杨戬接受了一位神秘访客的赏银去追捕一位少年，意外发现少年竟是自己的亲外甥沉香。沉香立志要寻回宝莲灯，劈山救母，却将酿成大祸。杨戬踏上追寻沉香并揭开尘封往事的旅程&hellip;&hellip;,magnet:?xt=urn:btih:ad6541b31d169b925f97df2b7d6bcd3c3f1ad012&dn=[电影天堂www.dytt89.com]新神榜：杨戬-2022_HD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
　Top Gun: Maverick,　　作为海军顶尖飞行员服役30多年后，皮特&middot;米切尔（代号：&ldquo;独行侠&rdquo;）（汤姆&middot;克鲁斯 饰演）决定打破体制的限制，成为一名试飞员接受更大的挑战。当他接到命令，为一项高难度特殊任务训练一群&ldquo;高空利剑&rdquo;项目的毕业生时，他遇到了已故的好友兼雷达截获官，代号&ldquo;笨鹅&rdquo;的尼克&middot;布拉德肖中尉之子布莱德利&middot;布拉德肖中尉（代号：&ldquo;公鸡&rdquo;）。,magnet:?xt=urn:btih:52227ca90c4be4ac9fbf2a34a905936aadb76e06&dn=[电影天堂www.dytt89.com]壮志凌云2：独行侠-2022_蓝光中英双字精校版.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
